Time,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL
2001-01-01 00:00:00+00:00,4.0,,0.0,2.0,,66.0,67.0,168.0,7.0,32.0,,26.0,,11.0
2001-01-01 01:00:00+00:00,9.0,,0.0,5.0,,146.0,71.0,294.0,7.0,41.0,,21.0,,21.0
2001-01-01 02:00:00+00:00,9.0,,0.0,5.0,,190.0,73.0,364.0,7.0,50.0,,22.0,,24.0
2001-01-01 03:00:00+00:00,10.0,,0.0,5.0,,170.0,75.0,335.0,7.0,55.0,,19.0,,25.0
2001-01-01 04:00:00+00:00,8.0,,0.0,4.0,,102.0,67.0,224.0,8.0,42.0,,14.0,,21.0
2001-01-01 05:00:00+00:00,3.0,,1.0,2.0,,63.0,60.0,157.0,8.0,21.0,,10.0,,10.0
2001-01-01 06:00:00+00:00,2.0,,0.0,1.0,,28.0,47.0,90.0,17.0,14.0,,8.0,,6.0
2001-01-01 07:00:00+00:00,2.0,,1.0,1.0,,33.0,43.0,93.0,21.0,13.0,,8.0,,6.0
2001-01-01 08:00:00+00:00,2.0,,1.0,1.0,,36.0,49.0,105.0,20.0,17.0,,8.0,,6.0
2001-01-01 09:00:00+00:00,2.0,,1.0,1.0,,25.0,43.0,82.0,24.0,15.0,,7.0,,5.0
2001-01-01 10:00:00+00:00,1.0,,1.0,1.0,,21.0,36.0,69.0,29.0,8.0,,7.0,,5.0
2001-01-01 11:00:00+00:00,1.0,,1.0,0.0,,19.0,28.0,57.0,34.0,11.0,,8.0,,3.0
2001-01-01 12:00:00+00:00,2.0,,1.0,1.0,,18.0,30.0,57.0,32.0,10.0,,9.0,,4.0
2001-01-01 13:00:00+00:00,2.0,,1.0,1.0,,34.0,43.0,95.0,24.0,11.0,,9.0,,6.0
2001-01-01 14:00:00+00:00,3.0,,1.0,2.0,,54.0,52.0,135.0,18.0,19.0,,9.0,,9.0
2001-01-01 15:00:00+00:00,3.0,,1.0,1.0,,39.0,44.0,103.0,21.0,20.0,,8.0,,7.0
2001-01-01 16:00:00+00:00,2.0,,0.0,1.0,,34.0,47.0,99.0,26.0,10.0,,8.0,,5.0
2001-01-01 17:00:00+00:00,2.0,,0.0,1.0,,46.0,59.0,130.0,23.0,9.0,,8.0,,6.0
2001-01-01 18:00:00+00:00,3.0,,0.0,1.0,,43.0,61.0,128.0,21.0,12.0,,7.0,,8.0
2001-01-01 19:00:00+00:00,4.0,,1.0,2.0,,59.0,64.0,154.0,17.0,17.0,,7.0,,10.0
2001-01-01 20:00:00+00:00,5.0,,1.0,2.0,,69.0,67.0,172.0,13.0,16.0,,8.0,,11.0
2001-01-01 21:00:00+00:00,4.0,,1.0,2.0,,50.0,58.0,134.0,26.0,13.0,,8.0,,10.0
2001-01-01 22:00:00+00:00,3.0,,0.0,1.0,,39.0,54.0,114.0,31.0,9.0,,8.0,,8.0
2001-01-01 23:00:00+00:00,3.0,,0.0,1.0,,27.0,42.0,83.0,39.0,8.0,,8.0,,8.0
2001-01-02 00:00:00+00:00,2.0,,0.0,1.0,,21.0,40.0,72.0,41.0,10.0,,7.0,,5.0
2001-01-02 01:00:00+00:00,2.0,,0.0,1.0,,18.0,38.0,66.0,39.0,14.0,,6.0,,4.0
2001-01-02 02:00:00+00:00,1.0,,0.0,0.0,,12.0,25.0,43.0,47.0,9.0,,6.0,,3.0
2001-01-02 03:00:00+00:00,0.0,,0.0,0.0,,6.0,19.0,28.0,48.0,5.0,,5.0,,2.0
2001-01-02 04:00:00+00:00,1.0,,0.0,0.0,,4.0,20.0,26.0,46.0,7.0,,5.0,,2.0
2001-01-02 05:00:00+00:00,0.0,,0.0,0.0,,7.0,29.0,40.0,40.0,8.0,,5.0,,2.0
2001-01-02 06:00:00+00:00,1.0,,0.0,0.0,,35.0,53.0,108.0,30.0,14.0,,6.0,,3.0
2001-01-02 07:00:00+00:00,3.0,,0.0,1.0,,75.0,79.0,194.0,21.0,21.0,,9.0,,7.0
2001-01-02 08:00:00+00:00,5.0,,1.0,2.0,,107.0,94.0,258.0,15.0,31.0,,11.0,,12.0
2001-01-02 09:00:00+00:00,7.0,,1.0,3.0,,101.0,90.0,245.0,16.0,45.0,,12.0,,15.0
2001-01-02 10:00:00+00:00,6.0,,1.0,3.0,,91.0,87.0,227.0,17.0,35.0,,9.0,,14.0
2001-01-02 11:00:00+00:00,5.0,,1.0,3.0,,106.0,84.0,247.0,15.0,26.0,,8.0,,15.0
2001-01-02 12:00:00+00:00,5.0,,1.0,3.0,,99.0,64.0,216.0,20.0,41.0,,13.0,,14.0
2001-01-02 13:00:00+00:00,6.0,,1.0,3.0,,92.0,64.0,205.0,22.0,38.0,,14.0,,15.0
2001-01-02 14:00:00+00:00,6.0,,1.0,3.0,,100.0,69.0,223.0,22.0,38.0,,15.0,,16.0
2001-01-02 15:00:00+00:00,5.0,,1.0,3.0,,87.0,68.0,202.0,23.0,36.0,,15.0,,14.0
2001-01-02 16:00:00+00:00,5.0,,1.0,2.0,,91.0,74.0,213.0,21.0,38.0,,14.0,,13.0
2001-01-02 17:00:00+00:00,6.0,,1.0,3.0,,78.0,76.0,195.0,19.0,39.0,,12.0,,15.0
2001-01-02 18:00:00+00:00,6.0,,1.0,3.0,,113.0,82.0,255.0,15.0,39.0,,13.0,,16.0
2001-01-02 19:00:00+00:00,8.0,,1.0,4.0,,141.0,93.0,309.0,12.0,44.0,,15.0,,20.0
2001-01-02 20:00:00+00:00,7.0,,1.0,4.0,,128.0,86.0,283.0,13.0,40.0,,13.0,,19.0
2001-01-02 21:00:00+00:00,7.0,,1.0,3.0,,136.0,89.0,298.0,10.0,43.0,,13.0,,17.0
2001-01-02 22:00:00+00:00,5.0,,0.0,3.0,,92.0,79.0,220.0,11.0,34.0,,10.0,,13.0
2001-01-02 23:00:00+00:00,3.0,,0.0,2.0,,48.0,61.0,135.0,18.0,26.0,,7.0,,10.0
2001-01-03 00:00:00+00:00,2.0,,0.0,1.0,,44.0,58.0,125.0,18.0,22.0,,7.0,,7.0
2001-01-03 01:00:00+00:00,2.0,,0.0,1.0,,32.0,47.0,96.0,22.0,20.0,,6.0,,7.0
2001-01-03 02:00:00+00:00,1.0,,0.0,1.0,,20.0,35.0,66.0,28.0,17.0,,5.0,,4.0
2001-01-03 03:00:00+00:00,0.0,,0.0,0.0,,11.0,29.0,47.0,32.0,13.0,,4.0,,3.0
2001-01-03 04:00:00+00:00,0.0,,0.0,0.0,,13.0,29.0,50.0,32.0,14.0,,4.0,,3.0
2001-01-03 05:00:00+00:00,0.0,,0.0,0.0,,12.0,31.0,48.0,29.0,17.0,,4.0,,2.0
2001-01-03 06:00:00+00:00,1.0,,0.0,0.0,,39.0,52.0,113.0,19.0,18.0,,5.0,,4.0
2001-01-03 07:00:00+00:00,3.0,,0.0,1.0,,95.0,75.0,222.0,12.0,33.0,,8.0,,8.0
2001-01-03 08:00:00+00:00,5.0,,1.0,2.0,,125.0,88.0,279.0,8.0,45.0,,9.0,,12.0
2001-01-03 09:00:00+00:00,7.0,,1.0,4.0,,157.0,91.0,332.0,8.0,61.0,,12.0,,20.0
2001-01-03 10:00:00+00:00,8.0,,1.0,4.0,,126.0,86.0,279.0,12.0,58.0,,13.0,,22.0
2001-01-03 11:00:00+00:00,6.0,,1.0,3.0,,103.0,76.0,234.0,18.0,46.0,,14.0,,19.0
2001-01-03 12:00:00+00:00,6.0,,1.0,3.0,,107.0,81.0,245.0,17.0,46.0,,14.0,,17.0
2001-01-03 13:00:00+00:00,6.0,,1.0,3.0,,118.0,84.0,266.0,15.0,46.0,,15.0,,18.0
2001-01-03 14:00:00+00:00,7.0,,1.0,4.0,,112.0,80.0,251.0,17.0,37.0,,14.0,,20.0
2001-01-03 15:00:00+00:00,6.0,,1.0,3.0,,115.0,82.0,257.0,14.0,45.0,,16.0,,16.0
2001-01-03 16:00:00+00:00,5.0,,1.0,3.0,,105.0,83.0,244.0,13.0,45.0,,16.0,,16.0
2001-01-03 17:00:00+00:00,6.0,,1.0,3.0,,114.0,86.0,260.0,10.0,48.0,,16.0,,19.0
2001-01-03 18:00:00+00:00,7.0,,1.0,4.0,,122.0,80.0,268.0,9.0,33.0,,15.0,,22.0
2001-01-03 19:00:00+00:00,7.0,,1.0,4.0,,132.0,85.0,288.0,10.0,27.0,,14.0,,22.0
2001-01-03 20:00:00+00:00,8.0,,1.0,4.0,,130.0,92.0,291.0,10.0,26.0,,14.0,,23.0
2001-01-03 21:00:00+00:00,9.0,,1.0,5.0,,120.0,89.0,273.0,9.0,39.0,,13.0,,23.0
2001-01-03 22:00:00+00:00,4.0,,0.0,4.0,,69.0,70.0,176.0,16.0,29.0,,9.0,,14.0
2001-01-03 23:00:00+00:00,3.0,,0.0,2.0,,40.0,57.0,119.0,21.0,24.0,,7.0,,8.0
2001-01-04 00:00:00+00:00,3.0,,0.0,2.0,,41.0,53.0,115.0,22.0,22.0,,7.0,,8.0
2001-01-04 01:00:00+00:00,2.0,,0.0,2.0,,35.0,52.0,105.0,21.0,15.0,,6.0,,7.0
2001-01-04 02:00:00+00:00,1.0,,0.0,1.0,,43.0,47.0,114.0,22.0,11.0,,6.0,,6.0
2001-01-04 03:00:00+00:00,1.0,,0.0,1.0,,15.0,34.0,57.0,29.0,12.0,,4.0,,5.0
2001-01-04 04:00:00+00:00,1.0,,0.0,0.0,,11.0,21.0,38.0,38.0,6.0,,4.0,,3.0
2001-01-04 05:00:00+00:00,0.0,,0.0,0.0,,9.0,19.0,33.0,40.0,9.0,,4.0,,2.0
2001-01-04 06:00:00+00:00,0.0,,0.0,0.0,,37.0,43.0,100.0,26.0,13.0,,5.0,,2.0
2001-01-04 07:00:00+00:00,3.0,,0.0,2.0,,129.0,77.0,274.0,10.0,25.0,,10.0,,9.0
2001-01-04 08:00:00+00:00,6.0,,0.0,3.0,,166.0,89.0,344.0,8.0,40.0,,12.0,,14.0
2001-01-04 09:00:00+00:00,7.0,,0.0,3.0,,117.0,80.0,259.0,12.0,39.0,,12.0,,17.0
2001-01-04 10:00:00+00:00,6.0,,0.0,3.0,,123.0,79.0,268.0,14.0,9.0,,9.0,,16.0
2001-01-04 11:00:00+00:00,6.0,,1.0,3.0,,102.0,68.0,224.0,18.0,53.0,,11.0,,16.0
2001-01-04 12:00:00+00:00,6.0,,1.0,3.0,,108.0,64.0,231.0,19.0,57.0,,16.0,,16.0
2001-01-04 13:00:00+00:00,7.0,,1.0,3.0,,127.0,77.0,272.0,16.0,60.0,,17.0,,19.0
2001-01-04 14:00:00+00:00,10.0,,1.0,5.0,,148.0,84.0,312.0,16.0,64.0,,18.0,,24.0
2001-01-04 15:00:00+00:00,6.0,,1.0,3.0,,96.0,72.0,219.0,21.0,50.0,,15.0,,17.0
2001-01-04 16:00:00+00:00,5.0,,1.0,3.0,,114.0,86.0,260.0,16.0,49.0,,15.0,,15.0
2001-01-04 17:00:00+00:00,7.0,,1.0,4.0,,129.0,95.0,292.0,13.0,49.0,,15.0,,19.0
2001-01-04 18:00:00+00:00,8.0,,1.0,4.0,,135.0,97.0,304.0,11.0,45.0,,16.0,,22.0
2001-01-04 19:00:00+00:00,9.0,,1.0,5.0,,150.0,94.0,323.0,11.0,56.0,,16.0,,23.0
2001-01-04 20:00:00+00:00,10.0,,2.0,5.0,,168.0,100.0,357.0,8.0,60.0,,17.0,,27.0
2001-01-04 21:00:00+00:00,10.0,,1.0,5.0,,161.0,101.0,348.0,8.0,58.0,,18.0,,26.0
2001-01-04 22:00:00+00:00,7.0,,1.0,4.0,,121.0,90.0,275.0,8.0,50.0,,14.0,,18.0
2001-01-04 23:00:00+00:00,5.0,,1.0,4.0,,87.0,83.0,217.0,8.0,40.0,,12.0,,16.0
2001-01-05 00:00:00+00:00,5.0,,0.0,3.0,,76.0,78.0,194.0,8.0,39.0,,10.0,,16.0
2001-01-05 01:00:00+00:00,4.0,,0.0,3.0,,55.0,66.0,151.0,10.0,29.0,,12.0,,12.0
2001-01-05 02:00:00+00:00,1.0,,0.0,1.0,,44.0,57.0,124.0,12.0,24.0,,9.0,,6.0
2001-01-05 03:00:00+00:00,2.0,,0.0,1.0,,40.0,59.0,121.0,10.0,27.0,,9.0,,7.0
2001-01-05 04:00:00+00:00,1.0,,0.0,2.0,,38.0,60.0,118.0,10.0,23.0,,7.0,,7.0
2001-01-05 05:00:00+00:00,2.0,,0.0,2.0,,48.0,63.0,136.0,8.0,22.0,,7.0,,8.0
2001-01-05 06:00:00+00:00,2.0,,0.0,1.0,,92.0,67.0,209.0,7.0,24.0,,8.0,,9.0
2001-01-05 07:00:00+00:00,3.0,,1.0,2.0,,143.0,66.0,285.0,7.0,31.0,,9.0,,9.0
2001-01-05 08:00:00+00:00,7.0,,2.0,4.0,,239.0,72.0,438.0,8.0,47.0,,13.0,,18.0
2001-01-05 09:00:00+00:00,14.0,,2.0,7.0,,296.0,84.0,538.0,8.0,67.0,,16.0,,34.0
2001-01-05 10:00:00+00:00,11.0,,1.0,6.0,,201.0,76.0,384.0,8.0,59.0,,12.0,,32.0
2001-01-05 11:00:00+00:00,9.0,,1.0,7.0,,218.0,78.0,412.0,8.0,73.0,,12.0,,30.0
2001-01-05 12:00:00+00:00,8.0,,1.0,6.0,,176.0,68.0,338.0,8.0,47.0,,12.0,,27.0
2001-01-05 13:00:00+00:00,9.0,,2.0,6.0,,188.0,64.0,352.0,8.0,37.0,,13.0,,29.0
2001-01-05 14:00:00+00:00,13.0,,2.0,7.0,,191.0,68.0,360.0,9.0,34.0,,13.0,,36.0
2001-01-05 15:00:00+00:00,11.0,,2.0,6.0,,188.0,65.0,353.0,8.0,30.0,,14.0,,30.0
2001-01-05 16:00:00+00:00,8.0,,1.0,5.0,,108.0,58.0,223.0,10.0,24.0,,11.0,,24.0
2001-01-05 17:00:00+00:00,3.0,,0.0,2.0,,20.0,51.0,81.0,12.0,15.0,,8.0,,13.0
2001-01-05 18:00:00+00:00,3.0,,0.0,2.0,,57.0,62.0,149.0,9.0,19.0,,10.0,,11.0
2001-01-05 19:00:00+00:00,7.0,,0.0,4.0,,94.0,60.0,204.0,11.0,18.0,,11.0,,18.0
2001-01-05 20:00:00+00:00,3.0,,0.0,3.0,,55.0,56.0,140.0,10.0,18.0,,9.0,,13.0
2001-01-05 21:00:00+00:00,4.0,,0.0,4.0,,54.0,56.0,138.0,12.0,15.0,,9.0,,12.0
2001-01-05 22:00:00+00:00,4.0,,0.0,4.0,,47.0,51.0,123.0,14.0,16.0,,8.0,,12.0
2001-01-05 23:00:00+00:00,2.0,,0.0,2.0,,32.0,31.0,79.0,26.0,13.0,,7.0,,8.0
2001-01-06 00:00:00+00:00,2.0,,0.0,1.0,,24.0,25.0,62.0,33.0,9.0,,6.0,,6.0
2001-01-06 01:00:00+00:00,2.0,,0.0,1.0,,36.0,36.0,91.0,26.0,8.0,,6.0,,6.0
2001-01-06 02:00:00+00:00,2.0,,0.0,1.0,,43.0,63.0,130.0,18.0,7.0,,7.0,,8.0
2001-01-06 03:00:00+00:00,2.0,,0.0,1.0,,47.0,67.0,139.0,17.0,11.0,,6.0,,8.0
2001-01-06 04:00:00+00:00,2.0,,0.0,1.0,,89.0,72.0,208.0,12.0,15.0,,7.0,,8.0
2001-01-06 05:00:00+00:00,3.0,,0.0,2.0,,63.0,65.0,161.0,18.0,16.0,,6.0,,10.0
2001-01-06 06:00:00+00:00,2.0,,0.0,1.0,,26.0,52.0,91.0,26.0,6.0,,4.0,,6.0
2001-01-06 07:00:00+00:00,1.0,,0.0,1.0,,26.0,49.0,88.0,28.0,7.0,,4.0,,5.0
2001-01-06 08:00:00+00:00,1.0,,0.0,0.0,,24.0,50.0,86.0,29.0,6.0,,5.0,,4.0
2001-01-06 09:00:00+00:00,1.0,,0.0,0.0,,28.0,57.0,100.0,27.0,9.0,,6.0,,4.0
2001-01-06 10:00:00+00:00,2.0,,0.0,1.0,,37.0,67.0,124.0,21.0,19.0,,14.0,,6.0
2001-01-06 11:00:00+00:00,2.0,,0.0,1.0,,34.0,57.0,109.0,29.0,19.0,,20.0,,6.0
2001-01-06 12:00:00+00:00,2.0,,0.0,1.0,,45.0,57.0,126.0,30.0,16.0,,21.0,,6.0
2001-01-06 13:00:00+00:00,3.0,,1.0,1.0,,54.0,63.0,146.0,28.0,15.0,,20.0,,9.0
2001-01-06 14:00:00+00:00,4.0,,1.0,2.0,,60.0,64.0,155.0,28.0,21.0,,20.0,,11.0
2001-01-06 15:00:00+00:00,3.0,,0.0,2.0,,48.0,63.0,136.0,27.0,17.0,,21.0,,9.0
2001-01-06 16:00:00+00:00,2.0,,0.0,1.0,,42.0,61.0,127.0,28.0,17.0,,21.0,,7.0
2001-01-06 17:00:00+00:00,3.0,,1.0,2.0,,62.0,78.0,174.0,17.0,17.0,,25.0,,8.0
2001-01-06 18:00:00+00:00,6.0,,1.0,3.0,,105.0,95.0,256.0,10.0,27.0,,30.0,,16.0
2001-01-06 19:00:00+00:00,7.0,,1.0,3.0,,108.0,95.0,262.0,8.0,32.0,,23.0,,17.0
2001-01-06 20:00:00+00:00,6.0,,1.0,4.0,,128.0,100.0,296.0,7.0,34.0,,28.0,,17.0
